date,line_no,station_no,get_on,get_off,등록일자
20210901,7호선,까치울,7295,7053,20210904
20210901,7호선,부천종합운동장,4485,3890,20210904
20210901,7호선,춘의,9392,9397,20210904
20210901,7호선,신중동,13035,13134,20210904
20210901,7호선,부천시청,11909,11804,20210904
20210901,7호선,상동,11845,12497,20210904
20210901,7호선,삼산체육관,4928,4532,20210904
20210901,7호선,굴포천,8486,8920,20210904
20210901,7호선,부평구청,7125,6284,20210904
20210901,8호선,암사,17552,15549,20210904
20210901,8호선,천호(풍납토성),13530,15020,20210904
20210901,8호선,강동구청,9603,10035,20210904
20210901,8호선,몽촌토성(평화의문),5512,5658,20210904
20210901,8호선,잠실(송파구청),11569,13464,20210904
20210901,8호선,석촌,6981,7951,20210904
20210901,8호선,송파,6970,7014,20210904
20210901,8호선,가락시장,7015,7810,20210904
20210901,8호선,문정,20830,21868,20210904
20210901,8호선,장지,15928,15578,20210904
20210901,8호선,복정,10089,8751,20210904
20210901,8호선,산성,5184,5272,20210904
20210901,8호선,남한산성입구(성남법원.검찰청),12455,11355,20210904
20210901,8호선,단대오거리,9619,9333,20210904
20210901,8호선,신흥,4077,4358,20210904
20210901,8호선,수진,4745,4299,20210904
20210901,8호선,모란,3823,2954,20210904
20210901,9호선,개화,2479,1760,20210904
20210901,9호선,김포공항,6083,9180,20210904
20210901,9호선,공항시장,2711,2927,20210904
20210901,9호선,신방화,6419,6287,20210904
20210901,9호선,마곡나루(서울식물원),10476,10734,20210904
20210901,9호선,양천향교,8797,9022,20210904
20210901,9호선,가양,18837,18353,20210904
20210901,9호선,증미,7014,7054,20210904
20210901,9호선,등촌,10760,10846,20210904
20210901,9호선,염창,15502,15434,20210904
20210901,9호선,신목동,3681,3342,20210904
20210901,9호선,선유도,7768,7647,20210904
20210901,9호선,당산,16241,16320,20210904
20210901,9호선,국회의사당,14262,14669,20210904
20210901,9호선,여의도,23368,22540,20210904
20210901,9호선,샛강,5287,5415,20210904
20210901,9호선,노량진,23980,22845,20210904
20210901,9호선,노들,4144,3597,20210904
20210901,9호선,흑석(중앙대입구),7067,7383,20210904
20210901,9호선,동작(현충원),1652,1249,20210904
20210901,9호선,구반포,2199,2180,20210904
20210901,9호선,신반포,3026,2983,20210904
20210901,9호선,고속터미널,9951,12158,20210904
20210901,9호선,사평,3138,3124,20210904
20210901,9호선,신논현,27020,26533,20210904
20210901,9호선2~3단계,언주,9387,9690,20210904
20210901,9호선2~3단계,선정릉,8890,9524,20210904
20210901,9호선2~3단계,삼성중앙,5997,6232,20210904
20210901,9호선2~3단계,봉은사,14462,14616,20210904
20210901,9호선2~3단계,종합운동장,3711,3748,20210904
20210901,9호선2~3단계,삼전,6300,6213,20210904
20210901,9호선2~3단계,석촌고분,5503,5527,20210904
20210901,9호선2~3단계,석촌,7315,6686,20210904
20210901,9호선2~3단계,송파나루,4321,4528,20210904
20210901,9호선2~3단계,한성백제,2308,2151,20210904
20210901,9호선2~3단계,올림픽공원(한국체대),5247,4978,20210904
20210901,9호선2~3단계,둔촌오륜,1199,1060,20210904
20210901,9호선2~3단계,중앙보훈병원,10018,9053,20210904
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20210901,2호선,아현,9642,9464,20210904
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20210901,4호선,수유(강북구청),31144,30990,20210904
20210901,4호선,미아(서울사이버대학),13771,13578,20210904
20210901,4호선,미아사거리,25377,24507,20210904
20210901,4호선,길음,18578,18039,20210904
20210901,4호선,성신여대입구(돈암),17623,16949,20210904
20210901,4호선,한성대입구(삼선교),12237,11854,20210904
20210901,4호선,혜화,27618,27739,20210904
20210901,4호선,동대문,18177,18954,20210904
20210901,4호선,동대문역사문화공원(DDP),13161,12087,20210904
20210901,4호선,충무로,24037,25035,20210904
20210901,4호선,명동,15551,16162,20210904
20210901,4호선,회현(남대문시장),20983,22426,20210904
20210901,4호선,서울역,9538,12204,20210904
20210901,4호선,숙대입구(갈월),11708,11349,20210904
20210901,4호선,삼각지,4527,4906,20210904
20210901,4호선,신용산,14197,15085,20210904
20210901,4호선,이촌(국립중앙박물관),6434,7091,20210904
20210902,7호선,용마산(용마폭포공원),5774,5681,20210905
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20210902,9호선2~3단계,중앙보훈병원,9981,8863,20210905
20210902,9호선2~3단계,둔촌오륜,1200,1099,20210905
20210902,9호선2~3단계,올림픽공원(한국체대),5304,5158,20210905
20210902,9호선2~3단계,한성백제,2360,2189,20210905
20210902,9호선2~3단계,송파나루,4404,4611,20210905
20210902,9호선2~3단계,석촌,7482,6699,20210905
20210902,9호선2~3단계,석촌고분,5567,5542,20210905
20210902,9호선2~3단계,삼전,6220,5993,20210905
20210902,9호선2~3단계,종합운동장,3641,3646,20210905
20210902,9호선2~3단계,봉은사,14172,14313,20210905
20210902,9호선2~3단계,삼성중앙,6212,6375,20210905
20210902,9호선2~3단계,선정릉,9031,9469,20210905
20210902,9호선2~3단계,언주,9686,9857,20210905
20210902,9호선,신논현,26810,26808,20210905
20210902,9호선,사평,3154,3177,20210905
20210902,9호선,고속터미널,10254,12493,20210905
20210902,9호선,신반포,3016,2987,20210905
20210902,9호선,구반포,2093,2195,20210905
20210902,9호선,동작(현충원),1767,1375,20210905
20210902,9호선,흑석(중앙대입구),7217,7619,20210905
20210902,9호선,노들,4162,3555,20210905
20210902,9호선,노량진,23559,22700,20210905
20210902,9호선,샛강,5298,5542,20210905
20210902,9호선,여의도,23549,22720,20210905
20210902,9호선,국회의사당,14171,14458,20210905
20210902,9호선,당산,16270,16301,20210905
20210902,9호선,선유도,7717,7551,20210905
20210902,9호선,신목동,3723,3263,20210905
20210902,9호선,염창,15797,15419,20210905
20210902,9호선,등촌,10830,10716,20210905
20210902,9호선,증미,7030,6972,20210905
20210902,9호선,가양,18791,18286,20210905
20210902,9호선,양천향교,9024,9289,20210905
20210902,9호선,마곡나루(서울식물원),10597,10712,20210905
20210902,9호선,신방화,6416,6379,20210905
20210902,9호선,공항시장,2737,2918,20210905
20210902,9호선,김포공항,6019,9462,20210905
20210902,9호선,개화,2580,1824,20210905
20210902,8호선,모란,3910,3029,20210905
20210902,8호선,수진,4784,4411,20210905
20210902,8호선,신흥,4118,4282,20210905
20210902,8호선,단대오거리,9680,9504,20210905
20210902,8호선,남한산성입구(성남법원.검찰청),12849,11706,20210905
20210902,8호선,산성,5223,5286,20210905
20210902,8호선,복정,10250,8834,20210905
20210902,8호선,장지,15783,15450,20210905
20210902,8호선,문정,20867,21876,20210905
20210902,8호선,가락시장,7288,8022,20210905
20210902,8호선,송파,7086,7029,20210905
20210902,8호선,석촌,7109,8095,20210905
20210902,8호선,잠실(송파구청),11464,13381,20210905
20210902,8호선,몽촌토성(평화의문),5618,5615,20210905
20210902,8호선,강동구청,9792,10080,20210905
20210902,8호선,천호(풍납토성),13477,15326,20210905
20210902,8호선,암사,17532,15590,20210905
20210902,7호선,부평구청,7173,6398,20210905
20210902,7호선,굴포천,8456,8886,20210905
20210902,7호선,삼산체육관,5002,4539,20210905
20210902,7호선,상동,12078,12662,20210905
20210902,7호선,부천시청,11857,11813,20210905
20210902,7호선,신중동,13183,13329,20210905
20210902,7호선,춘의,9342,9246,20210905
20210902,7호선,부천종합운동장,4626,4136,20210905
20210902,7호선,까치울,7364,7145,20210905
20210902,7호선,온수(성공회대입구),9985,9049,20210905
20210902,7호선,천왕,10814,10258,20210905
20210902,7호선,광명사거리,21313,21042,20210905
20210902,7호선,철산,19725,20296,20210905
